"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.2","TCP","74","37598  >  34567 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=657509 TSecr=0 WS=512"
"2","0.153498040","10.0.0.2","10.0.0.1","TCP","74","34567  >  37598 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=657535 TSecr=657509 WS=512"
"3","0.205178402","10.0.0.1","10.0.0.2","TCP","66","37598  >  34567 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=657560 TSecr=657535"
"4","0.223457275","10.0.0.1","10.0.0.2","TCP","2114","37598  >  34567 [PSH, ACK] Seq=1 Ack=1 Win=29696 Len=2048 TSval=657561 TSecr=657535"
"5","0.235918863","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=2049 Ack=1 Win=29696 Len=1448 TSval=657561 TSecr=657535"
"6","0.248189859","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=3497 Ack=1 Win=29696 Len=1448 TSval=657561 TSecr=657535"
"7","0.271867690","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=4945 Ack=1 Win=29696 Len=2896 TSval=657561 TSecr=657535"
"8","0.296151167","10.0.0.1","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 37598  >  34567 [ACK] Seq=9289 Ack=1 Win=29696 Len=2896 TSval=657561 TSecr=657535"
"9","0.307969838","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=12185 Ack=1 Win=29696 Len=1448 TSval=657561 TSecr=657535"
"10","0.376283763","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=1449 Win=32256 Len=0 TSval=657591 TSecr=657561"
"11","0.376286027","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=2049 Win=34816 Len=0 TSval=657591 TSecr=657561"
"12","0.387802971","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=3497 Win=37888 Len=0 TSval=657594 TSecr=657561"
"13","0.399920075","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=4945 Win=40960 Len=0 TSval=657597 TSecr=657561"
"14","0.423075859","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=7841 Win=46592 Len=0 TSval=657603 TSecr=657561"
"15","0.447934518","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=52224 Len=0 TSval=657609 TSecr=657561 SLE=9289 SRE=12185"
"16","0.451111845","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=13633 Ack=1 Win=29696 Len=2896 TSval=657616 TSecr=657591"
"17","0.462519751","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=55296 Len=0 TSval=657612 TSecr=657561 SLE=9289 SRE=13633"
"18","0.475663592","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=16529 Ack=1 Win=29696 Len=2896 TSval=657616 TSecr=657591"
"19","0.499290169","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=19425 Ack=1 Win=29696 Len=2896 TSval=657619 TSecr=657594"
"20","0.523656158","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=22321 Ack=1 Win=29696 Len=2896 TSval=657622 TSecr=657597"
"21","0.547786754","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=25217 Ack=1 Win=29696 Len=2896 TSval=657628 TSecr=657603"
"22","0.572350563","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=28113 Ack=1 Win=29696 Len=2896 TSval=657628 TSecr=657603"
"23","0.596816631","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=31009 Ack=1 Win=29696 Len=2896 TSval=657634 TSecr=657609"
"24","0.602929827","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=60928 Len=0 TSval=657648 TSecr=657561 SLE=9289 SRE=16529"
"25","0.608510721","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 37598  >  34567 [ACK] Seq=7841 Ack=1 Win=29696 Len=1448 TSval=657638 TSecr=657612"
"26","0.628352589","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=67072 Len=0 TSval=657654 TSecr=657561 SLE=9289 SRE=19425"
"27","0.653730018","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=72704 Len=0 TSval=657660 TSecr=657561 SLE=9289 SRE=22321"
"28","0.675485050","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=78336 Len=0 TSval=657666 TSecr=657561 SLE=9289 SRE=25217"
"29","0.678781333","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=33905 Ack=1 Win=29696 Len=2896 TSval=657673 TSecr=657648"
"30","0.690829356","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=36801 Ack=1 Win=29696 Len=1448 TSval=657679 TSecr=657654"
"31","0.698828651","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=84480 Len=0 TSval=657672 TSecr=657561 SLE=9289 SRE=28113"
"32","0.716290064","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=38249 Ack=1 Win=29696 Len=1448 TSval=657686 TSecr=657660"
"33","0.729632246","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=90112 Len=0 TSval=657678 TSecr=657561 SLE=9289 SRE=31009"
"34","0.749900228","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=7841 Win=95744 Len=0 TSval=657684 TSecr=657561 SLE=9289 SRE=33905"
"35","0.762137360","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=33905 Win=98816 Len=0 TSval=657687 TSecr=657638"
"36","0.773531510","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=39697 Ack=1 Win=29696 Len=2896 TSval=657697 TSecr=657672"
"37","0.804087410","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=42593 Ack=1 Win=29696 Len=2896 TSval=657705 TSecr=657678"
"38","0.828645142","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=45489 Ack=1 Win=29696 Len=2896 TSval=657710 TSecr=657684"
"39","0.830628791","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=36801 Win=104448 Len=0 TSval=657705 TSecr=657673"
"40","0.842662323","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=38249 Win=107520 Len=0 TSval=657708 TSecr=657679"
"41","0.852928213","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=48385 Ack=1 Win=29696 Len=2896 TSval=657713 TSecr=657687"
"42","0.867379893","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=39697 Win=110080 Len=0 TSval=657714 TSecr=657686"
"43","0.877289903","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=51281 Ack=1 Win=29696 Len=2896 TSval=657713 TSecr=657687"
"44","0.905306929","10.0.0.1","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 37598  >  34567 [ACK] Seq=57073 Ack=1 Win=29696 Len=1448 TSval=657733 TSecr=657708"
"45","0.924801787","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=42593 Win=116224 Len=0 TSval=657728 TSecr=657697"
"46","0.930090396","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=58521 Ack=1 Win=29696 Len=1448 TSval=657739 TSecr=657714"
"47","0.955653242","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=45489 Win=121856 Len=0 TSval=657736 TSecr=657705"
"48","0.980487871","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=48385 Win=127488 Len=0 TSval=657742 TSecr=657710"
"49","0.999642858","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=59969 Ack=1 Win=29696 Len=2896 TSval=657753 TSecr=657728"
"50","1.004764215","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=51281 Win=133632 Len=0 TSval=657748 TSecr=657713"
"51","1.028458607","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=54177 Win=139264 Len=0 TSval=657754 TSecr=657713"
"52","1.030324477","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=62865 Ack=1 Win=29696 Len=2896 TSval=657761 TSecr=657736"
"53","1.056140330","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=65761 Ack=1 Win=29696 Len=2896 TSval=657767 TSecr=657742"
"54","1.056163013","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=54177 Win=142336 Len=0 TSval=657761 TSecr=657713 SLE=57073 SRE=58521"
"55","1.079510275","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=68657 Ack=1 Win=29696 Len=2896 TSval=657773 TSecr=657748"
"56","1.080955061","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=54177 Win=144896 Len=0 TSval=657767 TSecr=657713 SLE=57073 SRE=59969"
"57","1.104064471","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=71553 Ack=1 Win=29696 Len=2896 TSval=657779 TSecr=657754"
"58","1.143394613","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 37598  >  34567 [ACK] Seq=54177 Ack=1 Win=29696 Len=1448 TSval=657792 TSecr=657767"
"59","1.150869226","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=54177 Win=151040 Len=0 TSval=657785 TSecr=657713 SLE=57073 SRE=62865"
"60","1.181415858","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=54177 Win=156672 Len=0 TSval=657792 TSecr=657713 SLE=57073 SRE=65761"
"61","1.208747291","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=54177 Win=162304 Len=0 TSval=657799 TSecr=657713 SLE=57073 SRE=68657"
"62","1.214140769","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 37598  >  34567 [ACK] Seq=55625 Ack=1 Win=29696 Len=1448 TSval=657810 TSecr=657785"
"63","1.232323899","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 51#1] 34567  >  37598 [ACK] Seq=1 Ack=54177 Win=162304 Len=0 TSval=657805 TSecr=657713 SLE=57073 SRE=71553"
"64","1.255928140","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 51#2] 34567  >  37598 [ACK] Seq=1 Ack=54177 Win=162304 Len=0 TSval=657811 TSecr=657713 SLE=57073 SRE=74449"
"65","1.284867963","10.0.0.1","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 37598  >  34567 [ACK] Seq=75897 Ack=1 Win=29696 Len=2896 TSval=657824 TSecr=657799"
"66","1.294828846","10.0.0.2","10.0.0.1","TCP","78","34567  >  37598 [ACK] Seq=1 Ack=55625 Win=161280 Len=0 TSval=657820 TSecr=657792 SLE=57073 SRE=74449"
"67","1.307820491","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=78793 Ack=1 Win=29696 Len=2896 TSval=657830 TSecr=657805"
"68","1.332196805","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=81689 Ack=1 Win=29696 Len=2896 TSval=657836 TSecr=657811"
"69","1.357612859","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 37598  >  34567 [ACK] Seq=74449 Ack=1 Win=29696 Len=1448 TSval=657846 TSecr=657820"
"70","1.366843246","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=74449 Win=161280 Len=0 TSval=657838 TSecr=657810"
"71","1.369293612","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=84585 Ack=1 Win=29696 Len=1448 TSval=657846 TSecr=657820"
"72","1.429315175","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=86033 Ack=1 Win=29696 Len=1448 TSval=657864 TSecr=657838"
"73","1.437517070","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  37598 [ACK] Seq=1 Ack=74449 Win=170496 Len=0 TSval=657856 TSecr=657810 SLE=75897 SRE=78793"
"74","1.458850716","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 70#1] 34567  >  37598 [ACK] Seq=1 Ack=74449 Win=170496 Len=0 TSval=657862 TSecr=657810 SLE=75897 SRE=81689"
"75","1.483523307","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 70#2] 34567  >  37598 [ACK] Seq=1 Ack=74449 Win=170496 Len=0 TSval=657868 TSecr=657810 SLE=75897 SRE=84585"
"76","1.508969748","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=84585 Win=165376 Len=0 TSval=657874 TSecr=657846"
"77","1.512900798","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=87481 Ack=1 Win=29696 Len=2896 TSval=657881 TSecr=657856"
"78","1.520649627","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=86033 Win=170496 Len=0 TSval=657877 TSecr=657846"
"79","1.536263730","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=90377 Ack=1 Win=29696 Len=2896 TSval=657887 TSecr=657862"
"80","1.560987598","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=93273 Ack=1 Win=29696 Len=2896 TSval=657893 TSecr=657868"
"81","1.572609286","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=96169 Ack=1 Win=29696 Len=1448 TSval=657900 TSecr=657874"
"82","1.581922002","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=87481 Win=170496 Len=0 TSval=657892 TSecr=657864"
"83","1.584662910","10.0.0.1","10.0.0.2","TCP","1514","37598  >  34567 [ACK] Seq=97617 Ack=1 Win=29696 Len=1448 TSval=657902 TSecr=657877"
"84","1.660797836","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=99065 Ack=1 Win=29696 Len=2896 TSval=657918 TSecr=657892"
"85","1.665063771","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=90377 Win=170496 Len=0 TSval=657913 TSecr=657881"
"86","1.687595488","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=93273 Win=170496 Len=0 TSval=657919 TSecr=657887"
"87","1.713101758","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=96169 Win=170496 Len=0 TSval=657925 TSecr=657893"
"88","1.738525257","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=99065 Win=170496 Len=0 TSval=657931 TSecr=657900"
"89","1.740386453","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=101961 Ack=1 Win=29696 Len=2896 TSval=657938 TSecr=657913"
"90","1.768967801","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=104857 Ack=1 Win=29696 Len=2896 TSval=657944 TSecr=657919"
"91","1.788078543","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=107753 Ack=1 Win=29696 Len=2896 TSval=657950 TSecr=657925"
"92","1.813196119","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=110649 Ack=1 Win=29696 Len=2896 TSval=657957 TSecr=657931"
"93","1.820029138","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=101961 Win=170496 Len=0 TSval=657950 TSecr=657918"
"94","1.893962319","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=104857 Win=170496 Len=0 TSval=657970 TSecr=657938"
"95","1.895585684","10.0.0.1","10.0.0.2","TCP","2962","37598  >  34567 [ACK] Seq=113545 Ack=1 Win=29696 Len=2896 TSval=657977 TSecr=657950"
"96","1.921159912","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=107753 Win=170496 Len=0 TSval=657977 TSecr=657944"
"97","1.944583355","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=110649 Win=170496 Len=0 TSval=657982 TSecr=657950"
"98","1.964190942","10.0.0.2","10.0.0.1","TCP","66","34567  >  37598 [ACK] Seq=1 Ack=113545 Win=170496 Len=0 TSval=657988 TSecr=657957"
